,precision,recall,f1-score,support
0,0.25,0.5,0.3333333333333333,2.0
1,0.5185185185185185,0.6666666666666666,0.5833333333333334,42.0
2,1.0,0.4,0.5714285714285714,5.0
3,0.09523809523809523,0.5,0.16,4.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,2.0
6,0.25,0.3333333333333333,0.2857142857142857,6.0
7,0.125,1.0,0.2222222222222222,1.0
8,0.25,0.029411764705882353,0.05263157894736842,34.0
9,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
10,0.11764705882352941,0.15384615384615385,0.13333333333333333,13.0
11,0.4444444444444444,0.8888888888888888,0.5925925925925926,9.0
12,0.5,0.4,0.4444444444444444,5.0
13,1.0,0.3333333333333333,0.5,6.0
14,0.0,0.0,0.0,1.0
15,0.875,0.22580645161290322,0.358974358974359,31.0
16,0.0,0.0,0.0,1.0
17,0.0,0.0,0.0,8.0
19,0.0,0.0,0.0,1.0
accuracy,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
macro avg,0.33235457925860407,0.31392736451160497,0.2581407747889742,187.0
weighted avg,0.49343034896668114,0.35294117647058826,0.35190847680011766,187.0
